[2026-08-07 09:07:11.447] [INFO   ] [JuggManagerCreator] Start Init Jugg by embedded on /Users/radar/Downloads/gitlab127001/bayshier
[2026-08-07 09:07:11.450] [FINE   ] [JuggServer] init finished, version: 3.1.1-release, projectId: bayshier, userName: Easin, requestToken: a9d90c78, serverUrl: http://sickworm.com:12305
[2026-08-07 09:07:11.452] [INFO   ] [ConstRefEngine] ConstRefEngine io throttle enabled, fullScan=3000ms/50files, fileChange=500ms/200files, preCompile=0ms/1files, onDemand=0ms/1files
[2026-08-07 09:07:11.452] [FINE   ] [JuggServerChooser] isForce=true, update server.
[2026-08-07 09:07:11.452] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
[2026-08-07 09:07:11.452] [FINE   ] [JuggServerChooser] Check server rule: ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com)
[2026-08-07 09:07:11.453] [FINE   ] [McpLocalServer] start: Server is already running
[2026-08-07 09:07:11.454] [FINE   ] [JuggManager] job <Init Jugg> waiting for TaskRunnerManager lock, thread=ApplicationImpl pooled thread 10
[2026-08-07 09:07:11.454] [FINE   ] [JuggManager] job <Init Jugg> acquired TaskRunnerManager lock, waitCost=0ms
[2026-08-07 09:07:11.454] [FINE   ] [JuggManager] job <Init Jugg> start
[2026-08-07 09:07:11.454] [FINE   ] [AsDeployerCompat] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-07 09:07:11.454] [WARNING] [AsDeployerCompat] Bad! IDE version higher than IdeVersion(name=Android Studio Quail, type=AI, mainVersion=261.23567.138, fullVersion=261.23567.138), use this for compat, good luck.
[2026-08-07 09:07:11.454] [FINE   ] [CustomConfigManager] Custom config changed from null to 0_1784859917139, reload it.
[2026-08-07 09:07:11.455] [FINE   ] [CustomConfigManager] Load default custom config: ProjectCustomConfig(servers=null, buildFileList=[], buildFileRules=[], dontFilterIgnoredFileRules=[], moduleCustomConfigs=[], customCompilers=null, embeddedApksSearchRules=null)
[2026-08-07 09:07:11.455] [FINE   ] [FileChangesHandler] updateBuildFileRules: [], doNotIgnoreModulePaths: []
[2026-08-07 09:07:11.455] [FINE   ] [CustomCompilerManager] updateCustomCompilers null
[2026-08-07 09:07:11.455] [FINE   ] [CustomCompilerManager] updateCustomCompilers with null config, exit.
[2026-08-07 09:07:11.455] [FINE   ] [JuggManager] JuggConfigurationType currentList: []
[2026-08-07 09:07:11.456] [FINE   ] [JuggManager] Suggest run configurations: []
[2026-08-07 09:07:11.456] [FINE   ] [JuggManager] No suggest run configuration
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] IDE version: IdeVersion(name=Android Studio Quail 3 | 2026.1.3, type=AI, mainVersion=261.26222.65, fullVersion=261.26222.65.2613.15948027)
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] plugin info: Version: 3.1.1-release, Compile-Date: 2026-07-27 17:13:48, Compile-Timestamp: 1785143628821, 
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] os.name: Mac OS X, os.version: 26.5.2
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] Idea JVM version: [25, 0, 2]
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] gradleDistributionUrl: [file not found]
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] systemPath: /Users/radar/Library/Caches/Google/AndroidStudio2026.1.3
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] device MIN API: 26
[2026-08-07 09:07:11.456] [FINE   ] [ProjectInfoReader] printProjectInfo cost: 0 ms
[2026-08-07 09:07:11.456] [FINE   ] [JuggServerChooser] Update server rules: [ServerRule(url=http://wormchen-any1.devcloud.woa.com:12305, checkReachableHost=wormchen-any1.devcloud.woa.com), ServerRule(url=http://sickworm.com:12305, checkReachableHost=null)]
